[aas@localhost platform-tools]$ ./adb shell getevent -lt /dev/input/event1
[   20130.474442] EV_SYN       SYN_REPORT           00000000 
           
[   20130.485549] EV_ABS       003f                 00000010            
[   20130.485559] EV_ABS       ABS_MT_POSITION_X    00000209            
[   20130.485563] EV_ABS       ABS_MT_POSITION_Y    00000097            
[   20130.485566] EV_ABS       ABS_MT_TOUCH_MAJOR   0000001c            
[   20130.485571] EV_SYN       SYN_REPORT           00000000 
           
[   20130.496662] EV_ABS       003f                 00000012            
[   20130.496673] EV_ABS       ABS_MT_POSITION_X    0000020b            
[   20130.496676] EV_ABS       ABS_MT_POSITION_Y    00000098            
[   20130.496679] EV_ABS       ABS_MT_TOUCH_MAJOR   0000001b            
[   20130.496682] EV_ABS       ABS_MT_TOUCH_MINOR   0000000a            
[   20130.496687] EV_SYN       SYN_REPORT           00000000 
           
[   20130.507716] EV_ABS       003f                 00000010            
[   20130.507727] EV_ABS       ABS_MT_POSITION_X    0000020e            
[   20130.507730] EV_ABS       ABS_MT_POSITION_Y    00000099            
[   20130.507733] EV_ABS       ABS_MT_TOUCH_MAJOR   0000001c            
[   20130.507736] EV_ABS       ABS_MT_TOUCH_MINOR   0000000b            
[   20130.507740] EV_SYN       SYN_REPORT           00000000 
           
[   20130.518791] EV_ABS       003f                 00000014            
[   20130.518803] EV_ABS       ABS_MT_POSITION_X    00000210            
[   20130.518806] EV_ABS       ABS_MT_POSITION_Y    0000009a            
[   20130.518811] EV_ABS       ABS_MT_TOUCH_MINOR   0000000e            
[   20130.518815] EV_SYN       SYN_REPORT           00000000 
           
[   20130.529844] EV_ABS       ABS_MT_POSITION_X    00000212            
[   20130.529851] EV_ABS       ABS_MT_POSITION_Y    0000009b            
[   20130.529856] EV_ABS       ABS_MT_TOUCH_MINOR   00000011            
[   20130.529859] EV_SYN       SYN_REPORT           00000000 
           
[   20130.541004] EV_ABS       ABS_MT_POSITION_X    00000214            
[   20130.541012] EV_ABS       ABS_MT_POSITION_Y    0000009c            
[   20130.541016] EV_ABS       ABS_MT_TOUCH_MINOR   00000012            
[   20130.541021] EV_SYN       SYN_REPORT           00000000 
           
[   20130.552034] EV_ABS       ABS_MT_POSITION_X    00000216            
[   20130.552042] EV_ABS       ABS_MT_POSITION_Y    0000009d            
[   20130.552049] EV_SYN       SYN_REPORT           00000000 
           
[   20130.563145] EV_ABS       ABS_MT_POSITION_X    00000217            
[   20130.563153] EV_ABS       ABS_MT_POSITION_Y    0000009e            
[   20130.563162] EV_SYN       SYN_REPORT           00000000 
           
[   20130.574223] EV_ABS       ABS_MT_POSITION_X    00000218            
[   20130.574229] EV_ABS       ABS_MT_POSITION_Y    000000a0            
[   20130.574234] EV_ABS       ABS_MT_TOUCH_MINOR   00000010            
[   20130.574238] EV_SYN       SYN_REPORT           00000000 
           
[   20130.585398] EV_ABS       ABS_MT_POSITION_Y    000000a2            
[   20130.585405] EV_ABS       ABS_MT_TOUCH_MAJOR   0000001b            
[   20130.585408] EV_ABS       ABS_MT_TOUCH_MINOR   0000000c            
[   20130.585413] EV_SYN       SYN_REPORT           00000000 
           
[   20130.596310] EV_ABS       003f                 00000012            
[   20130.596321] EV_ABS       ABS_MT_POSITION_Y    000000a4            
[   20130.596326] EV_ABS       ABS_MT_TOUCH_MINOR   0000000a            
[   20130.596330] EV_SYN       SYN_REPORT           00000000 
           
[   20130.607395] EV_ABS       ABS_MT_POSITION_Y    000000a6            
