average: 0.011080459

[    6017.864322] EV_ABS       ABS_MT_TOUCH_MINOR   0000000c            
[    6017.864326] EV_SYN       SYN_REPORT           00000000            
[    6017.875413] EV_ABS       003f                 00000010            
[    6017.875426] EV_ABS       ABS_MT_POSITION_X    0000012d            
[    6017.875432] EV_ABS       ABS_MT_POSITION_Y    000001a9            
[    6017.875439] EV_ABS       ABS_MT_TOUCH_MINOR   0000000f            
[    6017.875446] EV_SYN       SYN_REPORT           00000000            
[    6017.886448] EV_ABS       003f                 00000012            
[    6017.886458] EV_ABS       ABS_MT_POSITION_X    0000012f            
[    6017.886461] EV_ABS       ABS_MT_POSITION_Y    000001ac            
[    6017.886465] EV_ABS       ABS_MT_TOUCH_MINOR   00000011            
[    6017.886470] EV_SYN       SYN_REPORT           00000000            
[    6017.897538] EV_ABS       003f                 00000014            
[    6017.897550] EV_ABS       ABS_MT_POSITION_X    00000131            
[    6017.897554] EV_ABS       ABS_MT_POSITION_Y    000001ae            
[    6017.897559] EV_ABS       ABS_MT_TOUCH_MINOR   00000013            
[    6017.897563] EV_SYN       SYN_REPORT           00000000            
[    6017.908663] EV_ABS       ABS_MT_POSITION_X    00000133            
[    6017.908672] EV_ABS       ABS_MT_POSITION_Y    000001b0            
[    6017.908677] EV_ABS       ABS_MT_TOUCH_MINOR   00000011            
[    6017.908681] EV_SYN       SYN_REPORT           00000000            
[    6017.919764] EV_ABS       003f                 00000012            
[    6017.919775] EV_ABS       ABS_MT_POSITION_X    00000135            
[    6017.919778] EV_ABS       ABS_MT_POSITION_Y    000001b2            
[    6017.919783] EV_ABS       ABS_MT_TOUCH_MINOR   0000000f            
[    6017.919787] EV_SYN       SYN_REPORT           00000000            
[    6017.930923] EV_ABS       003f                 00000014            
[    6017.930935] EV_ABS       ABS_MT_POSITION_X    00000137            
[    6017.930938] EV_ABS       ABS_MT_POSITION_Y    000001b4            
[    6017.930941] EV_ABS       ABS_MT_TOUCH_MAJOR   00000018            
[    6017.930944] EV_ABS       ABS_MT_TOUCH_MINOR   0000000c            
[    6017.930949] EV_SYN       SYN_REPORT           00000000            
[    6017.941931] EV_ABS       ABS_MT_POSITION_X    00000139            
[    6017.941939] EV_ABS       ABS_MT_POSITION_Y    000001b6            
[    6017.941943] EV_ABS       ABS_MT_TOUCH_MAJOR   00000019            
[    6017.941946] EV_ABS       ABS_MT_TOUCH_MINOR   0000000b            
[    6017.941950] EV_SYN       SYN_REPORT           00000000            
[    6017.952995] EV_ABS       003f                 00000012            
[    6017.953007] EV_ABS       ABS_MT_POSITION_X    0000013b            
[    6017.953010] EV_ABS       ABS_MT_POSITION_Y    000001b8            
[    6017.953015] EV_ABS       ABS_MT_TOUCH_MINOR   0000000a            
[    6017.953020] EV_SYN       SYN_REPORT           00000000            
[    6017.964114] EV_ABS       003f                 00000010            
[    6017.964127] EV_ABS       ABS_MT_POSITION_X    0000013d            
[    6017.964130] EV_ABS       ABS_MT_POSITION_Y    000001ba            
[    6017.964134] EV_ABS       ABS_MT_TOUCH_MAJOR   0000001a            
[    6017.964140] EV_SYN       SYN_REPORT           00000000            
[    6017.975143] EV_ABS       ABS_MT_POSITION_X    0000013f            
[    6017.975149] EV_ABS       ABS_MT_POSITION_Y    000001bc            
[    6017.975154] EV_ABS       ABS_MT_TOUCH_MINOR   00000009            
[    6017.975158] EV_SYN       SYN_REPORT           00000000            
[    6017.986198] EV_ABS       ABS_MT_POSITION_X    00000140            
[    6017.986206] EV_ABS       ABS_MT_POSITION_Y    000001be            
[    6017.986209] EV_ABS       ABS_MT_TOUCH_MAJOR   00000019            
[    6017.986215] EV_SYN       SYN_REPORT           00000000            
[    6017.997304] EV_ABS       ABS_MT_POSITION_X    00000141            
[    6017.997311] EV_ABS       ABS_MT_POSITION_Y    000001c0            
[    6017.997314] EV_ABS       ABS_MT_TOUCH_MAJOR   00000018            
[    6017.997320] EV_SYN       SYN_REPORT           00000000            
[    6018.008313] EV_ABS       003f                 0000000e            
[    6018.008324] EV_ABS       ABS_MT_POSITION_X    00000142            
[    6018.008328] EV_ABS       ABS_MT_POSITION_Y    000001c2            
[    6018.008335] EV_SYN       SYN_REPORT           00000000            
[    6018.019454] EV_ABS       003f                 0000000c            
[    6018.019465] EV_ABS       ABS_MT_POSITION_X    00000143            
[    6018.019469] EV_ABS       ABS_MT_POSITION_Y    000001c3            
[    6018.019476] EV_SYN       SYN_REPORT           00000000            
[    6018.030578] EV_ABS       003f                 0000000e            
[    6018.030591] EV_ABS       ABS_MT_POSITION_X    00000144            
[    6018.030594] EV_ABS       ABS_MT_POSITION_Y    000001c5            
